id,drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason
65524,715940,715939,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65551,1714278,1714277,200,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65552,1714279,1714277,50,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65585,1526476,1526475,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65657,19098167,929887,30,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65828,1308877,1308842,160,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65845,1596999,1596977,NA,NA,500,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
65867,1567232,1567198,NA,NA,100,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
65935,1714303,1714277,50,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65937,19098454,1714277,200,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65938,712649,712615,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65948,715965,715939,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
65952,19098474,1526475,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
66025,951530,951469,667,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
66144,948890,948856,NA,NA,0.014,8587,NA,8587,NA,1970-01-01,2099-12-31,NA
66145,948890,950056,NA,NA,6,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
66190,19100691,1383925,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
66341,987250,987245,NA,NA,667,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
66352,19101814,19069022,NA,NA,0.011,8576,NA,8576,NA,1970-01-01,2099-12-31,NA
66522,19102504,711584,NA,NA,100,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
66527,19102518,1786617,500,8576,NA,NA,NA,NA,NA,2016-05-02,2099-12-31,NA
66674,19102773,1716903,NA,NA,5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
67523,19103985,19009540,180,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
70787,19106768,974166,12.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
72827,19112586,725131,7.5,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
72875,19112640,1551803,145,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
72876,1551924,1551803,48,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
72900,992673,992590,500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
73875,922802,922570,NA,NA,100000,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
74083,987272,987245,NA,NA,667,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
74099,1551983,1551803,48,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
74151,19114563,1738521,100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
74645,915209,915175,NA,NA,5000,8510,NA,8587,NA,1970-01-01,2099-12-31,NA
74669,19115197,1759842,125,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
74670,19115197,1713332,875,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
81378,19121580,1106776,0.018000000000000002,8576,NA,NA,NA,NA,NA,2014-12-01,2099-12-31,NA
81593,19121909,961145,2100,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
81680,19122045,1742432,50,8576,NA,NA,NA,NA,NA,2016-05-02,2099-12-31,NA
81747,19122148,715259,30,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
81764,1344909,1344905,NA,NA,10,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
81790,902807,902722,NA,NA,40,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
81929,19122506,781182,8,8576,NA,NA,NA,NA,NA,2005-11-13,2099-12-31,NA
81941,19122573,904453,40,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82073,19123038,938205,NA,NA,5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
82074,19123038,901656,NA,NA,5,8576,NA,8587,NA,1970-01-01,2099-12-31,NA
82107,19123104,904453,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82156,19123167,734354,25,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82162,19123173,734354,75,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82335,766923,766814,50,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82458,1713694,1759842,125,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82459,1713694,1713332,500,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82468,19123592,1545958,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82469,1545996,1545958,40,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82470,1545997,1545958,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82472,1545998,1545958,10,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
82476,1545999,1545958,20,8576,NA,NA,NA,NA,NA,1970-01-01,2099-12-31,NA
